num_sentences,num_words,num_syllables,avg_syllables_per_word,fk_grade,fk_read,Analytic,Authentic,Tone,tone_pos,tone_neg,focuspast,focuspresent,focusfuture,Cognition,memory,Self-reference,Other-reference,Contextual Embedding,Perceptual Details,Reality Monitoring,Temporal details,Spatial details,Quantity details,People,concreteness,Condition,Participant_id,Event
12,167,210,1.2574850299401197,5.2,82.75,7.11,44.56,5.45,2.99,4.79,11.98,2.99,1.8,12.57,0.6,13.77,8.38,10.18,1.7999999999999998,7.789999999999999,0.0,0.0,0.0,0.0,2.888444444444445,Truthful,65723bb74a071113710655e7,Ending a long romantic relationship
8,146,211,1.4452054794520548,8.1,69.82,48.29,99.0,2.26,0.68,3.42,8.22,0.0,2.74,8.9,0.0,9.58,0.68,17.8,1.37,14.38,0.684931506849315,0.0,0.0,0.0,3.300652173913043,Truthful,6126a2b75731d7dcfefa4cc2,Being involved in a car accident
5,78,102,1.3076923076923077,5.8,81.02,45.8,99.0,60.52,2.56,0.0,12.82,0.0,2.56,6.41,0.0,14.1,1.28,12.82,1.28,10.25,0.0,1.2658227848101267,2.5316455696202533,0.0,3.2778260869565217,Truthful,65367825834650d5b518cac1,A job interview for your dream job
6,125,165,1.32,7.9,75.74,42.07,78.14,3.14,2.4,4.8,9.6,0.8,0.0,8.8,0.0,13.600000000000001,4.8,12.8,0.8,12.0,0.8,0.0,0.0,0.0,3.0355263157894736,Truthful,6133d6ceda5d8d0022d8b108,Cheating on your partner
11,158,224,1.4177215189873418,6.5,73.78,43.04,99.0,2.82,0.0,2.52,11.32,0.0,0.63,13.84,0.0,14.47,1.26,17.61,0.63,6.919999999999998,5.660377358490566,0.0,0.0,0.628930817610063,3.1439999999999997,Truthful,60c8678d0c06ddfaafc29f0f,None of them
15,182,269,1.478021978021978,6.8,67.65,35.59,90.28,2.24,1.65,4.4,14.84,0.55,0.55,11.54,0.0,13.19,0.0,10.45,0.0,4.949999999999999,0.5494505494505495,0.0,0.5494505494505495,0.0,2.6916666666666664,Truthful,61699d2c44832e100023cb80,None of them
5,73,99,1.356164383561644,6.6,73.58,10.82,99.0,40.28,2.74,1.37,15.07,0.0,0.0,17.81,1.37,12.33,1.37,12.33,1.37,0.0,0.0,0.0,0.0,0.0,2.8613636363636363,Truthful,613644ab1f992400aacf1ddf,Taking the bus/train without the ticket
7,111,158,1.4234234234234233,7.1,72.26,38.14,97.09,47.3,4.46,2.68,9.82,1.79,1.79,12.5,0.89,10.71,0.89,9.82,1.78,7.140000000000001,3.508771929824561,1.7543859649122806,0.8771929824561403,0.0,3.1355555555555554,Truthful,61011efb0639c55ef85d128a,Taking the bus/train without the ticket
10,206,281,1.3640776699029127,9.0,67.49,68.52,99.0,33.82,0.97,0.0,11.17,1.46,0.0,12.14,0.0,7.28,0.49,24.75,3.4000000000000004,16.979999999999997,2.4038461538461537,0.0,0.4807692307692308,0.0,3.272222222222222,Truthful,5ea63c3594a32d64240bf2ea,Taking the bus/train without the ticket
5,127,168,1.3228346456692914,9.7,71.07,35.28,92.75,6.78,0.77,2.31,11.54,0.77,3.85,19.23,0.0,10.0,0.77,12.31,0.0,-3.84,3.9370078740157477,0.0,0.0,0.0,2.861379310344827,Truthful,60afbcd31e7724c3c9236e8d,Missing a deadline at work because of bad organisation
7,112,142,1.2678571428571428,6.0,80.62,62.1,48.09,20.23,1.79,1.79,16.96,0.89,0.0,7.14,0.0,7.14,6.25,16.97,2.68,16.08,0.0,0.0,0.0,0.0,3.0242857142857145,Truthful,61310da2b4b3b6636a548f13,Ending a long romantic relationship
7,95,141,1.4842105263157894,7.4,66.13,61.72,99.0,69.9,3.16,0.0,9.47,2.11,2.11,7.37,0.0,11.58,3.16,16.84,0.0,12.629999999999999,2.083333333333333,0.0,0.0,0.0,3.0727999999999995,Truthful,60733d6690d0d13013e9f40a,None of them
4,69,92,1.3333333333333333,6.5,79.3,3.46,98.67,7.29,1.45,2.9,0.0,8.7,1.45,26.09,0.0,11.59,0.0,7.25,1.45,-13.040000000000001,0.0,2.73972602739726,0.0,0.0,2.8413043478260875,Truthful,652bea56d7736bf02261d534,Taking the bus/train without the ticket
6,91,122,1.3406593406593406,5.7,81.43,69.35,86.41,54.36,3.3,1.1,13.19,0.0,0.0,6.59,0.0,14.29,1.1,14.29,0.0,12.099999999999998,2.197802197802198,0.0,0.0,0.0,3.060000000000001,Truthful,65182c5a0cadd3291661b9e0,A job interview for your dream job
7,189,238,1.2592592592592593,10.3,69.45,48.87,70.98,20.23,1.59,1.59,11.64,0.0,0.0,7.41,0.53,8.99,1.06,14.290000000000001,3.71,14.29,3.125,0.5208333333333333,0.5208333333333333,0.0,3.4592307692307696,Truthful,60feb05321b4a7b554700eb7,None of them
4,75,102,1.36,8.3,69.31,10.19,99.0,39.67,2.67,1.33,16.0,2.67,0.0,16.0,6.67,10.67,0.0,17.33,0.0,5.329999999999998,0.0,0.0,0.0,0.0,3.151,Truthful,609bc34e402e137642da6aa3,Taking the bus/train without the ticket
6,79,135,1.7088607594936709,9.6,49.62,57.92,47.11,99.0,7.59,0.0,11.39,0.0,0.0,13.92,2.53,6.33,0.0,12.659999999999998,1.27,7.599999999999996,0.0,0.0,0.0,0.0,2.8975000000000004,Truthful,602eda053a3b7ab564f938f5,None of them
3,82,113,1.3780487804878048,11.6,60.69,27.64,94.28,58.42,2.44,0.0,13.41,2.44,2.44,14.63,0.0,10.98,1.22,13.419999999999998,1.22,2.4499999999999975,4.761904761904762,0.0,0.0,0.0,2.7453571428571437,Truthful,6134b6d0a2a4c604d0c48d5b,Getting fired
9,124,158,1.2741935483870968,5.1,82.85,53.75,98.81,94.37,6.45,0.81,10.48,0.0,1.61,12.1,2.42,16.13,2.42,10.48,5.640000000000001,11.280000000000003,2.380952380952381,0.0,0.0,0.0,3.1374358974358976,Truthful,662baf927447391832b41ecb,None of them
11,217,255,1.1751152073732718,6.3,85.32,21.0,79.1,20.23,1.38,1.38,11.98,1.38,0.0,9.22,0.0,15.2,9.22,16.13,2.3,11.969999999999997,0.0,0.0,0.0,0.0,3.3311538461538457,Truthful,6112862638be610c1af129c5,Ending a long romantic relationship
4,113,158,1.3982300884955752,12.0,59.67,36.13,93.68,75.34,3.54,0.0,12.39,1.77,0.0,12.39,0.0,10.62,0.0,11.5,0.0,2.6499999999999986,0.8849557522123894,0.0,0.0,0.0,2.9534285714285717,Truthful,66096b44399021884f2bf59a,A job interview for your dream job
3,57,80,1.4035087719298245,8.3,69.11,52.34,70.28,46.76,1.75,0.0,7.02,3.51,1.75,10.53,0.0,0.0,5.26,19.299999999999997,0.0,10.519999999999998,3.508771929824561,0.0,0.0,0.0,3.0373684210526317,Truthful,611cde82784f11c1e17fe12b,None of them
3,69,94,1.3623188405797102,9.9,65.05,72.44,98.67,65.92,2.9,0.0,14.49,0.0,0.0,8.7,0.0,11.6,0.0,21.74,0.0,15.939999999999998,1.4492753623188406,1.4492753623188406,2.898550724637681,0.0,3.0959090909090907,Truthful,61386094902c2d666abf75f6,Missing a deadline at work because of bad organisation
3,76,119,1.5657894736842106,13.2,45.8,40.49,97.49,2.53,1.32,3.95,10.53,2.63,0.0,7.89,0.0,14.48,2.63,17.11,2.64,17.119999999999997,0.0,1.2658227848101267,0.0,0.0,2.9912499999999995,Truthful,5fa4721c8826280efc7ea386,Ending a long romantic relationship
4,95,128,1.3473684210526315,9.0,72.7,9.72,99.0,35.11,2.11,1.05,14.74,0.0,2.11,15.79,1.05,13.68,1.05,14.74,2.1,4.210000000000001,0.0,0.0,0.0,0.0,3.372857142857143,Truthful,6166d81329fcc212c62228a2,Taking the bus/train without the ticket
15,192,281,1.4635416666666667,7.1,66.94,27.42,97.72,6.65,1.56,3.13,12.5,0.0,0.0,14.06,0.0,14.07,2.08,15.620000000000001,1.56,8.33,0.5154639175257731,0.0,0.0,0.0,2.6815909090909096,Truthful,5f7bd801486f5e1ce581980f,Cheating on your partner
8,136,199,1.463235294117647,8.7,62.68,37.99,71.95,66.58,4.41,1.47,11.03,0.74,0.74,8.82,0.0,15.440000000000001,3.68,11.77,0.74,9.57,0.0,0.0,0.7352941176470588,0.0,2.974186046511628,Truthful,6173d266422990874e02c3b7,None of them
9,157,225,1.4331210191082802,7.7,70.73,98.79,88.86,60.25,2.55,0.0,8.28,0.0,0.0,5.73,0.0,8.28,0.64,12.74,0.64,10.2,2.547770700636943,0.0,2.547770700636943,0.0,2.993409090909091,Truthful,61255b688816ec0e8e5368bb,A job interview for your dream job
8,151,204,1.3509933774834437,8.3,69.21,46.7,99.0,,0.0,0.0,9.8,0.0,0.0,6.54,0.0,9.81,1.31,26.15,2.61,22.22,1.282051282051282,0.0,3.846153846153846,0.0,3.2035135135135135,Truthful,65a3ab6491a3f0e753748680,Getting a speeding fine
7,195,271,1.3897435897435897,11.8,60.08,16.83,48.76,76.01,3.59,0.0,8.21,1.54,2.56,17.95,0.0,9.74,7.69,13.85,0.51,0.0,2.051282051282051,0.0,0.0,0.0,2.692142857142857,Truthful,60ffc13565a05e4a3451c765,Ending a long romantic relationship
9,131,150,1.1450381679389312,3.1,98.96,17.26,99.0,6.84,0.0,1.53,12.21,2.29,0.76,9.92,0.0,19.080000000000002,2.29,16.79,0.76,9.160000000000002,0.0,0.0,0.0,0.0,3.3602499999999997,Truthful,65a7dde19acaeb680361659e,Taking the bus/train without the ticket
2,49,88,1.7959183673469388,15.2,29.69,82.8,66.12,51.68,2.04,0.0,4.08,4.08,0.0,8.16,0.0,12.24,0.0,4.08,0.0,-2.04,0.0,0.0,1.9607843137254901,0.0,2.8854545454545453,Truthful,5d83ce739ade5600199d448e,None of them
12,124,175,1.4112903225806452,4.9,77.94,77.83,98.81,3.07,0.0,2.42,12.1,0.0,0.81,13.71,0.0,12.91,0.0,16.939999999999998,2.42,8.07,2.3622047244094486,0.0,0.0,0.0,3.2839473684210527,Truthful,6103cbc873a9677ac54efe0f,Ending a long romantic relationship
12,339,426,1.2566371681415929,10.8,68.13,3.56,63.77,3.27,2.06,4.42,11.8,2.06,1.18,17.99,0.0,12.38,7.07,10.9,1.7599999999999998,1.1600000000000001,1.7699115044247786,0.0,0.0,0.0,2.884852941176471,Truthful,60536ffae4f98513b671f482,Ending a long romantic relationship
4,74,108,1.4594594594594594,9.3,61.16,74.45,97.49,39.38,1.32,0.0,10.53,0.0,1.32,5.26,0.0,9.21,2.63,14.48,1.32,11.860000000000001,1.3513513513513513,0.0,1.3513513513513513,0.0,3.239130434782609,Truthful,605af81750b2b2d82ef1597d,A job interview for your dream job
6,128,181,1.4140625,9.2,66.78,50.47,75.23,12.13,0.78,1.56,7.03,3.91,0.78,18.75,0.0,7.029999999999999,0.78,8.59,0.78,-7.040000000000001,0.0,0.0,0.0,0.0,2.7334883720930234,Truthful,5e6ecd1a5c401949b9ae528f,Cheating on an exam
